S/N,skill_name,skill_type,median_salary,average_yearly_salary
1,svn,other,400000,400000
2,solidity,programming,179000,179000
3,couchbase,databases,160515,160515
4,datarobot,analyst_tools,155486,155486
5,golang,programming,155000,155000
6,mxnet,libraries,149000,149000
7,dplyr,libraries,167500,147633
8,vmware,cloud,147500,147500
9,terraform,other,163782,146734
10,twilio,sync,138500,138500
11,gitlab,other,163782,134126
12,kafka,libraries,115095,129999
13,puppet,other,129820,129820
14,keras,libraries,107000,127013
15,pytorch,libraries,107000,125226
16,perl,programming,119550,124686
17,ansible,other,124370,124370
18,hugging face,libraries,123950,123950
19,tensorflow,libraries,105000,120647
20,cassandra,databases,111175,118407
21,notion,async,112750,118092
22,atlassian,other,102500,117966
23,bitbucket,other,105838,116712
24,airflow,libraries,111175,116387
25,scala,programming,111175,115480
26,linux,os,112150,114883
27,confluence,async,111175,114153
28,pyspark,libraries,111175,114058
29,mongodb,programming,111838,113608
30,mongodb,databases,111838,113608
31,aurora,cloud,111800,113394
32,cordova,libraries,113270,113270
33,gcp,cloud,111175,113065
34,spark,libraries,111175,113002
35,splunk,analyst_tools,125000,112928
36,databricks,cloud,110000,112881
37,unify,sync,106300,112317
38,git,other,100000,112250
39,dynamodb,databases,110000,111840
40,snowflake,cloud,110240,111578
41,shell,programming,119575,111496
42,electron,libraries,111175,111175
43,unix,os,110000,111123
44,hadoop,libraries,111175,110888
45,pandas,libraries,102500,110767
46,node.js,webframeworks,109088,110230
47,phoenix,webframeworks,115000,109259
48,php,programming,95000,109052
49,neo4j,databases,95000,108646
50,nosql,programming,100000,108331
51,express,webframeworks,103736,108221
52,watson,cloud,112000,108103
53,redshift,cloud,102500,107969
54,jira,async,105515,107931
55,rust,programming,98000,107925
56,elasticsearch,databases,99250,107816
57,no-sql,programming,104838,107405
58,numpy,libraries,100250,107398
59,db2,databases,109648,107130
60,swift,programming,105000,107100
61,redis,databases,104838,107044
62,postgresql,databases,98825,106853
63,plotly,libraries,95000,106603
64,aws,cloud,100500,106440
65,c++,programming,99750,105696
66,alteryx,analyst_tools,104750,105580
67,azure,cloud,100000,105400
68,gdpr,libraries,98500,105329
69,bigquery,cloud,105000,105238
70,bash,programming,109600,105075
71,powershell,programming,110000,105041
72,mongo,programming,95000,104274
73,scikit-learn,libraries,100000,103932
74,looker,analyst_tools,103250,103855
75,jupyter,libraries,100500,103522
76,ibm cloud,cloud,105750,103313
77,kubernetes,other,95150,103089
78,angular,webframeworks,109088,102103
79,flask,webframeworks,99962,101863
80,asp.net,webframeworks,97500,101667
81,sqlite,databases,95000,101625
82,python,programming,98500,101512
83,github,other,98500,101498
84,jenkins,other,90000,101419
85,mysql,databases,98500,101381
86,visio,analyst_tools,98038,101036
87,oracle,cloud,95588,100964
88,qlik,analyst_tools,99575,100933
89,java,programming,95700,100214
90,theano,libraries,100000,100000
91,chainer,libraries,100000,100000
92,matlab,programming,89500,99909
93,unity,other,90000,99617
94,dax,analyst_tools,97500,99549
95,ggplot2,libraries,90100,99416
96,matplotlib,libraries,98500,99307
97,docker,other,90000,99262
98,yarn,other,99150,99150
99,seaborn,libraries,88500,98748
100,c,programming,100000,98715
101,r,programming,92528,98708
102,django,webframeworks,85006,98544
103,flow,other,94400,98020
104,tableau,analyst_tools,95000,97978
105,node,webframeworks,77050,97900
106,spring,libraries,90000,97454
107,go,programming,90000,97267
108,c#,programming,99500,97248
109,ssis,analyst_tools,98000,97235
110,sql,programming,92500,96435
111,sql server,databases,92500,96191
112,mariadb,databases,95000,96000
113,jquery,webframeworks,108360,95772
114,t-sql,programming,98500,95723
115,microstrategy,analyst_tools,90000,94486
116,vba,programming,90000,93845
117,sas,programming,90000,93707
118,sas,analyst_tools,90000,93707
119,webex,sync,84500,92500
120,sap,analyst_tools,90000,92446
121,power bi,analyst_tools,90000,92324
122,pascal,programming,92000,92000
123,javascript,programming,90000,91805
124,ssrs,analyst_tools,90000,91537
125,cognos,analyst_tools,90000,90407
126,airtable,async,90000,90006
127,clickup,async,90000,90000
128,zoom,sync,81167,89791
129,typescript,programming,98500,89323
130,unreal,other,84975,89113
131,sharepoint,analyst_tools,89300,89027
132,react,libraries,91250,88567
133,drupal,webframeworks,89834,88328
134,powerpoint,analyst_tools,85000,88316
135,firebase,databases,87500,87500
136,firebase,cloud,87500,87500
137,crystal,programming,85725,87327
138,visual basic,programming,86450,86972
139,arch,os,84000,86835
140,windows,os,85000,86513
141,excel,analyst_tools,84500,86419
142,symphony,sync,84850,86267
143,microsoft teams,sync,89834,85570
144,assembly,programming,80410,85390
145,asana,async,70019,85339
146,css,programming,73634,85317
147,spss,analyst_tools,84078,85293
148,ms access,analyst_tools,82500,84873
149,cobol,programming,83750,84745
150,html,programming,87918,84383
151,sheets,analyst_tools,82500,84130
152,terminal,other,76693,83567
